종목코드;종목명;시장구분;전일종가;등락폭;등락대비;시작가;고가;저가;거래량;거래액;시가총액;주식발행량;
060310;3S;KOSDAQ;3,675;55;-1.47;3,765;3,770;3,625;580,073;2,138,463,105;170,047,810,275;46,271,513;
095570;AJ네트웍스;KOSPI;6,070;20;+0.33;6,040;6,100;5,960;72,992;441,012,450;284,211,330,650;46,822,295;
006840;AK홀딩스;KOSPI;27,750;700;-2.46;28,450;28,450;27,450;31,327;870,335,450;367,619,817,750;13,247,561;
054620;APS홀딩스;KOSDAQ;21,950;350;+1.62;21,400;22,150;20,950;195,798;4,266,469,900;447,653,150,950;20,394,221;
265520;AP시스템;KOSDAQ;31,000;350;-1.12;31,550;31,600;30,750;259,505;8,069,201,200;448,887,037,000;14,480,227;
211270;AP위성;KOSDAQ;15,600;350;-2.19;15,850;16,000;15,450;81,664;1,272,249,800;235,283,942,400;15,082,304;
027410;BGF;KOSPI;6,450;20;+0.31;6,480;6,540;6,410;293,676;1,900,681,810;617,373,301,950;95,716,791;
282330;BGF리테일;KOSPI;174,000;2,500;+1.46;172,000;174,000;170,000;20,891;3,607,281,500;3,007,399,644,000;17,283,906;
138930;BNK금융지주;KOSPI;7,840;10;+0.13;7,850;7,910;7,770;1,398,602;10,949,903,130;2,555,332,328,640;325,935,246;
001460;BYC;KOSPI;415,500;16,000;+4.01;399,000;449,000;399,000;4,294;1,818,300,500;259,527,532,500;624,615;
001465;BYC우;KOSPI;179,000;2,000;+1.13;177,000;181,000;177,000;267;47,736,500;38,553,915,000;215,385;
013720;CBI;KOSDAQ;4,350;225;-4.92;4,575;4,665;4,330;671,145;2,996,500,680;220,535,321,250;50,697,775;
001040;CJ;KOSPI;105,000;1,500;+1.45;105,000;105,500;103,000;108,481;11,324,293,000;3,063,584,790,000;29,176,998;
079160;CJ CGV;KOSPI;30,800;400;+1.32;30,200;30,900;30,100;421,218;12,899,116,750;1,132,145,352,800;36,757,966;
035760;CJ ENM;KOSDAQ;160,300;1,500;-0.93;162,700;162,700;159,400;107,985;17,304,717,200;3,515,243,386,200;21,929,154;
00104K;CJ4우(전환);KOSPI;85,300;400;+0.47;85,500;86,000;84,700;28,849;2,457,071,300;360,521,473,600;4,226,512;
000120;CJ대한통운;KOSPI;169,000;500;-0.29;170,000;170,000;167,500;46,566;7,846,067,500;3,855,286,136,000;22,812,344;
011150;CJ씨푸드;KOSPI;4,600;10;-0.22;4,585;4,625;4,580;208,751;958,912,845;165,281,555,800;35,930,773;
011155;CJ씨푸드1우;KOSPI;41,500;300;-0.72;41,800;41,800;41,150;145;6,014,350;8,300,000,000;200,000;
001045;CJ우;KOSPI;64,500;200;-0.31;64,700;64,700;64,000;913;58,630,700;145,784,383,500;2,260,223;
097950;CJ제일제당;KOSPI;462,500;27,000;-5.52;492,000;492,000;458,500;223,772;104,221,805,000;6,962,561,025,000;15,054,186;
097955;CJ제일제당 우;KOSPI;212,500;4,500;-2.07;219,000;219,000;210,500;12,259;2,607,458,000;282,079,512,500;1,327,433;
051500;CJ프레시웨이;KOSDAQ;35,800;400;-1.10;36,300;37,050;34,950;201,286;7,224,870,600;425,002,778,800;11,871,586;
058820;CMG제약;KOSDAQ;4,810;55;-1.13;4,880;4,935;4,790;1,184,115;5,732,358,830;668,071,693,640;138,892,244;
023460;CNH;KOSDAQ;3,445;45;+1.32;3,375;3,450;3,370;34,858;118,628,170;128,154,000,000;37,200,000;
056730;CNT85;KOSDAQ;1,550;0;0.00;0;0;0;0;0;109,591,063,600;70,703,912;
056000;COWON;KOSDAQ;2,860;0;0.00;0;0;0;0;0;56,399,843,500;19,720,225;
065770;CS;KOSDAQ;4,995;25;-0.50;5,020;5,060;4,935;226,872;1,129,415,540;96,958,594,350;19,411,130;
083660;CSA 코스믹;KOSDAQ;1,520;80;-5.00;1,585;1,605;1,520;156,229;241,338,345;57,659,853,280;37,934,114;
000590;CS홀딩스;KOSPI;67,300;200;-0.30;67,500;67,900;66,500;1,847;123,780,400;77,696,638,600;1,154,482;
012030;DB;KOSPI;1,125;10;+0.90;1,110;1,140;1,110;1,133,373;1,275,036,150;226,320,674,625;201,173,933;
367340;DB금융스팩8호;KOSDAQ;2,200;15;-0.68;2,225;2,225;2,195;47,616;104,774,610;13,310,000,000;6,050,000;
367360;DB금융스팩9호;KOSDAQ;2,225;5;-0.22;2,235;2,235;2,210;47,936;106,287,325;10,769,000,000;4,840,000;
016610;DB금융투자;KOSPI;6,850;90;-1.30;6,940;6,980;6,800;133,276;916,621,710;290,757,764,650;42,446,389;
005830;DB손해보험;KOSPI;57,100;700;-1.21;58,000;58,300;56,600;68,174;3,904,054,700;4,042,680,000,000;70,800,000;
000990;DB하이텍;KOSPI;66,000;200;-0.30;65,700;66,900;65,100;717,096;47,320,773,300;2,930,306,808,000;44,398,588;
000995;DB하이텍1우;KOSPI;114,000;1,000;-0.87;115,500;115,500;113,000;286;32,597,000;12,804,024,000;112,316;
139130;DGB금융지주;KOSPI;9,290;20;+0.22;9,290;9,330;9,150;395,366;3,651,079,850;1,571,364,788,570;169,145,833;
001530;DI동일;KOSPI;336,500;4,500;+1.36;333,000;345,500;330,000;42,417;14,348,899,000;844,835,407,500;2,510,655;
000210;DL;KOSPI;74,400;900;-1.20;75,300;75,500;74,000;141,751;10,561,106,600;1,559,117,769,600;20,955,884;
001880;DL건설;KOSPI;33,150;350;+1.07;32,600;33,250;32,350;38,014;1,240,681,000;731,066,364,600;22,053,284;
000215;DL우;KOSPI;44,450;400;-0.89;44,950;44,950;44,200;2,862;127,353,800;74,947,811,750;1,686,115;
375500;DL이앤씨;KOSPI;140,000;2,500;-1.75;142,500;142,500;139,000;146,465;20,540,144,500;2,710,223,320,000;19,358,738;
37550K;DL이앤씨우;KOSPI;79,200;500;-0.63;79,600;80,000;78,600;9,496;750,403,400;167,419,692,000;2,113,885;
068790;DMS;KOSDAQ;8,780;90;+1.04;8,750;8,860;8,650;700,102;6,138,146,210;215,751,475,580;24,573,061;
004840;DRB동일;KOSPI;7,530;40;+0.53;7,490;7,560;7,300;28,127;207,884,970;150,072,900,000;19,930,000;
241520;DSC인베스트먼트;KOSDAQ;5,310;40;-0.75;5,400;5,440;5,270;182,243;971,565,150;147,678,549,930;27,811,403;
155660;DSR;KOSPI;6,380;20;-0.31;6,340;6,450;6,260;58,231;369,837,480;102,080,000,000;16,000,000;
069730;DSR제강;KOSPI;6,150;50;-0.81;6,200;6,220;6,090;53,662;330,335,570;88,560,000,000;14,400,000;
017940;E1;KOSPI;55,800;0;0.00;55,800;56,200;55,400;11,511;641,589,200;382,788,000,000;6,860,000;
245620;EDGC;KOSDAQ;4,835;55;+1.15;4,775;4,835;4,745;462,449;2,213,544,330;404,351,412,625;83,630,075;
037370;EG;KOSDAQ;11,900;450;-3.64;12,300;12,350;11,650;148,657;1,778,332,000;89,250,000,000;7,500,000;
278990;EMB;KONEX;7,590;0;0.00;0;0;0;0;0;27,507,844,980;3,624,222;
079190;EMW;KOSDAQ;2,780;0;0.00;0;0;0;0;0;88,360,067,660;31,784,197;
365550;ESR켄달스퀘어리츠;KOSPI;6,900;20;+0.29;6,940;6,960;6,810;297,119;2,041,104,470;988,487,100,000;143,259,000;
050120;ES큐브;KOSDAQ;6,040;70;+1.17;5,970;6,090;5,590;92,452;554,048,130;81,927,079,440;13,564,086;
383220;F&F;KOSPI;624,000;10,000;-1.58;640,000;640,000;614,000;25,986;16,227,345,000;4,780,722,960,000;7,661,415;
007700;F&F홀딩스;KOSPI;36,400;450;-1.22;36,800;36,900;36,400;41,874;1,532,119,700;281,684,494,000;7,738,585;
130500;GH신소재;KOSDAQ;9,230;960;+11.61;8,350;9,230;8,240;2,992,635;26,286,450,650;101,530,000,000;11,000,000;
114090;GKL;KOSPI;16,200;150;-0.92;16,250;16,300;16,050;236,862;3,826,205,650;1,002,061,854,000;61,855,670;
900290;GRT;KOSDAQ;951;0;0.00;0;0;0;0;0;64,073,625,000;67,375,000;
078930;GS;KOSPI;42,400;300;-0.70;43,100;43,250;42,300;212,447;9,048,973,400;3,939,612,027,200;92,915,378;
083450;GST;KOSDAQ;30,450;500;-1.62;31,300;31,350;30,400;186,423;5,731,272,150;283,725,335,250;9,317,745;
006360;GS건설;KOSPI;42,050;550;-1.29;42,600;42,750;41,850;521,260;21,979,802,000;3,598,701,654,500;85,581,490;
001250;GS글로벌;KOSPI;2,840;55;-1.90;2,910;2,910;2,810;392,017;1,114,619,740;234,395,889,760;82,533,764;
007070;GS리테일;KOSPI;34,400;50;-0.15;34,500;34,550;34,200;286,520;9,831,519,250;3,602,296,516,800;104,717,922;
078935;GS우;KOSPI;36,300;0;0.00;36,400;36,450;36,150;1,722;62,374,250;64,789,183,800;1,784,826;
045890;GV;KOSDAQ;240;0;0.00;0;0;0;0;0;20,823,884,880;86,766,187;
297890;HB솔루션;KOSDAQ;29,250;250;+0.86;28,750;30,800;28,550;176,133;5,214,714,350;478,682,217,000;16,365,204;
078150;HB테크놀러지;KOSDAQ;3,545;70;+2.01;3,440;3,680;3,360;12,399,577;43,813,979,135;280,021,060,170;78,990,426;
012630;HDC;KOSPI;11,850;200;-1.66;12,050;12,100;11,800;367,986;4,368,554,150;707,939,393,850;59,741,721;
039570;HDC아이콘트롤스;KOSPI;13,150;600;-4.36;13,800;13,800;13,150;88,555;1,182,129,750;216,449,000,000;16,460,000;
089470;HDC현대EP;KOSPI;5,780;140;-2.36;5,920;5,920;5,780;99,070;577,127,210;184,382,000,000;31,900,000;
294870;HDC현대산업개발;KOSPI;29,700;500;-1.66;30,000;30,150;29,600;345,195;10,276,598,550;1,957,447,701,000;65,907,330;
195940;HK이노엔;KOSDAQ;67,300;1,200;-1.75;70,600;72,800;66,600;3,390,798;235,433,702,900;1,945,272,782,700;28,904,499;
